# $\sigma_8$ $n_\mathrm{s}$ $h$ $\Omega_\mathrm{b}$ $\Omega_\mathrm{m}$ $\zeta_\mathrm{UV}$
8.275254531636834221e-01 9.689096500970423298e-01 6.482366910934447279e-01 5.100355738673359451e-02 3.088746398959308914e-01 2.230930433142930269e+01
8.046467505082488536e-01 9.579366794791073225e-01 7.063348236292600335e-01 4.897656454604119164e-02 3.420534475345164416e-01 3.379717145580798388e+01
7.902936518810689259e-01 9.770313840121030990e-01 6.710290656782686991e-01 5.267614001493901160e-02 3.226035160331055529e-01 3.107059354893863201e+01
8.123545239739119461e-01 9.447302871424704263e-01 6.803782760150730580e-01 4.627460398051887885e-02 2.916973420513793713e-01 2.661409444175660610e+01
8.194459819667041511e-01 9.851881619378924926e-01 6.970340545460581572e-01 4.509074834074825594e-02 2.799956429779529299e-01 2.079144507180899382e+01
7.815684228263795053e-01 9.515336304906755194e-01 6.576252401605248155e-01 5.170187802512198755e-02 3.291557286337017940e-01 3.134169797878712416e+01
7.967308959051966344e-01 9.719804992847145275e-01 6.901789516381919842e-01 4.796694520015269692e-02 3.486212025398388592e-01 2.879462020471692085e+01
8.337929133012890182e-01 9.596540915858000620e-01 6.620195163212716505e-01 4.992130322840065276e-02 2.971885180363431633e-01 2.527550643309950829e+01
8.375638856612145355e-01 9.784810612615197911e-01 6.872968760862946391e-01 5.234682831067592051e-02 3.354229168102145220e-01 2.578164026606827974e+01
8.004452785722910857e-01 9.478230923958123055e-01 6.666447560474276779e-01 4.607216347839683535e-02 3.113691167861223352e-01 3.023859713692218065e+01
7.852643198207021058e-01 9.654374496866017230e-01 6.923941574417054046e-01 4.974457344498485478e-02 2.943345721999183207e-01 3.460219557397067547e+01
8.232061361953615375e-01 9.554513570725917671e-01 6.604926762156188014e-01 4.757876385647803741e-02 3.161157363915815810e-01 2.311387068592011929e+01
8.161110777840018260e-01 9.730712793324143295e-01 6.757714926809071931e-01 4.856342006187885918e-02 3.278018408466130684e-01 2.423436969053000212e+01
7.939931564465164682e-01 9.643567502632737209e-01 6.776133877396582905e-01 5.091807540033013030e-02 2.877667649809271255e-01 2.775394122581928968e+01
8.083575238160788379e-01 9.807008346658200315e-01 6.509869398720562472e-01 4.714817786488682133e-02 3.048169563991948716e-01 3.241399841383099556e+01
8.313000277303158603e-01 9.513144318483769402e-01 7.015777392484248143e-01 5.336266310971230636e-02 3.471246332881972041e-01 2.186328774318099022e+01
8.305633088447152979e-01 9.743493089511990890e-01 6.833909450829028787e-01 5.001996214773506144e-02 2.825380655454471368e-01 2.297194411046802998e+01
8.076802288241684558e-01 9.630072762522846608e-01 6.702392975598573388e-01 4.786829844016581709e-02 3.317652664335444257e-01 3.492169120348989964e+01
7.928535878717899443e-01 9.821429142676294521e-01 7.033711504735052911e-01 5.153486330706626151e-02 3.512124295227229687e-01 2.990994634572416544e+01
8.149137447088956598e-01 9.501290078204125411e-01 6.489701408691703755e-01 4.525774279322475335e-02 2.997131845571100461e-01 2.592906011734157801e+01
8.238770412713288804e-01 9.797485062129795974e-01 6.646884104594588116e-01 4.637313725326210750e-02 3.062787512114271693e-01 2.142478786408901215e+01
7.859928159475326748e-01 9.464630343433469983e-01 6.890298338964581104e-01 5.257762700777501158e-02 3.395330217426642538e-01 3.243692073971033096e+01
8.016508326180279420e-01 9.668689646482467870e-01 6.550209345094859525e-01 4.880942418139427863e-02 3.200657562550157098e-01 2.772186351474374533e+01
8.387098459400236239e-01 9.542553690303117175e-01 6.981112613700329872e-01 5.117068559203297173e-02 2.890835646104067402e-01 2.467836262192577124e+01
8.349975265622138210e-01 9.839104652706534004e-01 6.596388500168919311e-01 5.346339722435921454e-02 3.252773141061887086e-01 2.700132478959858418e+01
7.978778036743402469e-01 9.528834374532103579e-01 6.952365100368856909e-01 4.704745590958744200e-02 2.851751208325847831e-01 3.098175325430929661e+01
7.822383804120123241e-01 9.705387276004999730e-01 6.675485222958028597e-01 5.075313587758690376e-02 3.022078368525952241e-01 3.388051869813352823e+01
8.201754188783466626e-01 9.608398235313594382e-01 6.843972610108554067e-01 4.872833931904286403e-02 3.445820720281451699e-01 2.193122936878353357e+01
8.112158461160957623e-01 9.676418772008270608e-01 7.006135864168405725e-01 4.767937232453376556e-02 3.380365555586293258e-01 2.548335097730159760e+01
7.890954356886447085e-01 9.592964095868170560e-01 6.537052436530589317e-01 4.964398524250835526e-02 3.139072948174551070e-01 2.852639410644769669e+01
8.039109147399663424e-01 9.755995561260730753e-01 6.786411849208175973e-01 4.590709830906242184e-02 2.968545808263122754e-01 3.160443080123513937e+01
8.268472674548625889e-01 9.459259622603655160e-01 6.729822221197188092e-01 5.251188132066279823e-02 3.187117648564278816e-01 2.059275568928569555e+01
8.290590919986366991e-01 9.776058392938227204e-01 6.932051437892019496e-01 4.919560461577028587e-02 2.992590875823050722e-01 2.904430655296891928e+01
8.070604185447096679e-01 9.439896785564720894e-01 6.613627136297524078e-01 5.134895435620099452e-02 3.481211854789406090e-01 2.505609945859760046e+01
7.917760104559361523e-01 9.696494569707662103e-01 6.859983723223209706e-01 4.658500026810914740e-02 3.310776242448016937e-01 2.010311640799045563e+01
8.148340992502868252e-01 9.573614224851131338e-01 6.654053042441606669e-01 5.286380694147199688e-02 2.799250704256817657e-01 3.206019151955842972e+01
8.207468479745090306e-01 9.712443767044693921e-01 6.520033474437891829e-01 5.177954427424818346e-02 2.910548249140381682e-01 3.035353856626898050e+01
7.837470292173326358e-01 9.602279057636856630e-01 7.026522823594510969e-01 4.557751887749880715e-02 3.239612555980682096e-01 2.730271725449711084e+01
7.979804816529154632e-01 9.846148277860135023e-01 6.751473894700408263e-01 5.037255428444594590e-02 3.409847495147958485e-01 2.252934877760708332e+01
8.360374269321559915e-01 9.522702330969273765e-01 6.770474209621548667e-01 4.801375710491091048e-02 3.103687399441376060e-01 3.354880922473967075e+01
8.397793277226388575e-01 9.648621859647333876e-01 6.722653138063847678e-01 4.572026328455656985e-02 3.450562293857336038e-01 3.310278741177171469e+01
8.017825224868952994e-01 9.561911572184413899e-01 6.816726605765521807e-01 5.213425904039294123e-02 3.053191238746046920e-01 2.114617006387561560e+01
7.875310492947698027e-01 9.777404606550932353e-01 6.473634504511951437e-01 4.740122769299894706e-02 2.858427015507593594e-01 2.398605920374393463e+01
8.244774800226092326e-01 9.483975556571037080e-01 7.055197185263037962e-01 4.942407881926745572e-02 3.278702651599422202e-01 2.797380853444337845e+01
8.185611237272619745e-01 9.814374302312731668e-01 6.907407996602356048e-01 5.044192200053483621e-02 3.167605605844407979e-01 3.438260810915380716e+01
7.955636309519410476e-01 9.507410906556993391e-01 6.626404163040220396e-01 4.847510425087064867e-02 2.929791201103478793e-01 2.336360542569309473e+01
8.108588571719824722e-01 9.736451018027961757e-01 6.959553922325372177e-01 5.330989920433611140e-02 3.124355099258944168e-01 2.650006775744259357e+01
8.328046021483838102e-01 9.636206359755248307e-01 6.566056289136409374e-01 4.670291123438626707e-02 3.339265271110460342e-01 2.955043130554258823e+01
8.334084500432014098e-01 9.670267823509871574e-01 6.981817950852214905e-01 5.221638099376112174e-02 3.321815792044624516e-01 3.329094567336142063e+01
8.104677566200494399e-01 9.547438536178320945e-01 6.550823469258844067e-01 4.567194837044924460e-02 2.832434418892487704e-01 2.274023522622883320e+01
7.956347555913031444e-01 9.802344625279307833e-01 6.885143673032522171e-01 4.934013651024550529e-02 3.004274720337241633e-01 2.710739566478878260e+01
8.177508235223591715e-01 9.466234100464731016e-01 6.641637260079383820e-01 4.745240866664797441e-02 3.516554756920784452e-01 3.062696697656065226e+01
8.248459239549934541e-01 9.819825499862432361e-01 6.498242888770997538e-01 4.842882805403322249e-02 3.399543467538431174e-01 3.173280332237482071e+01
7.869059162832796606e-01 9.496430610496551239e-01 7.042307576708495276e-01 5.052199713040143869e-02 3.069813425542786689e-01 2.024447821080684662e+01
8.025555122703313948e-01 9.738608135677874200e-01 6.698044458761811537e-01 4.675619577515870845e-02 2.898128893516957461e-01 2.490100206341594458e+01
8.396722677409648172e-01 9.628494508828967513e-01 6.829616491481661500e-01 5.322384522195905410e-02 3.204959923990070569e-01 2.935795915778726339e+01
8.359031292296945637e-01 9.751139189939945773e-01 6.745615214280783478e-01 5.139963274348527400e-02 2.847409770937636697e-01 2.978901245631277561e+01
7.988393031306564307e-01 9.457659082435071474e-01 6.802114094220101936e-01 4.911115972038358757e-02 3.245541241990402281e-01 2.626989890821278095e+01
7.832081854403019072e-01 9.674843811843544250e-01 6.525891859814524354e-01 5.281495701607316628e-02 3.438856155194341957e-01 2.354708327446132898e+01
8.210875961989163585e-01 9.588082441821694779e-01 6.994883216157555816e-01 4.666658721018582950e-02 3.017826042465865388e-01 3.409733595792204142e+01
8.139961051255464319e-01 9.710269012976437963e-01 6.856469403006135721e-01 4.549096230875700891e-02 3.134681388383731004e-01 2.831864628940820694e+01
7.919334225416183592e-01 9.609973297178745488e-01 6.688036142833531095e-01 5.183232622865587697e-02 3.373161506524309239e-01 2.386214695870876312e+01
8.067551478989422042e-01 9.840705103691667066e-01 6.935565463066101222e-01 4.809329722348600761e-02 3.180002710830420187e-01 2.131127835717052221e+01
8.296357039608061035e-01 9.533690625376999295e-01 6.579644313067197769e-01 5.032574307631701438e-02 2.964421582456678306e-01 3.279914570506662130e+01
8.262224777661263397e-01 9.847591970939189032e-01 6.780553739875554431e-01 4.700087572906166272e-02 3.476915060088038301e-01 2.434845940675586462e+01
8.042797019951045678e-01 9.527503962427377182e-01 6.761461532473563851e-01 5.354362231951206863e-02 2.985314334064722019e-01 2.786071029957383871e+01
7.889889479115604898e-01 9.717168649103492539e-01 7.011993678458035006e-01 4.878141715090721781e-02 2.792241496482864016e-01 3.228617478162050247e+01
8.119894081041216793e-01 9.603799403108655985e-01 6.505413402415811674e-01 5.066745883498341430e-02 3.306568559074774538e-01 2.174279190599918365e+01
8.197839750036597373e-01 9.694974141310900295e-01 6.671970329418778212e-01 4.972631390478462338e-02 3.235176527548581094e-01 2.567600219044834375e+01
7.828418849840760307e-01 9.568889241091906861e-01 6.877956281587481735e-01 4.763068047065287941e-02 2.903388668719679155e-01 3.012563841883093119e+01
7.970669312648475113e-01 9.771256850663573301e-01 6.599903098665177437e-01 5.242824299532920090e-02 3.096616930348798369e-01 3.472339325584471226e+01
8.350680789969860962e-01 9.438453212961553929e-01 6.918381706051528468e-01 4.595812931742519064e-02 3.405678800700232545e-01 2.324239616282284260e+01
8.388666858211158983e-01 9.731716510415077126e-01 6.572473944708704385e-01 4.778208638627082228e-02 3.057309897813945687e-01 2.093462066259235144e+01
8.008122662886977272e-01 9.634676413763314518e-01 6.965879220500588165e-01 5.007250496830791681e-02 3.457660525936633311e-01 3.147754577454179525e+01
7.865690845869481862e-01 9.812921008713543225e-01 6.624619209937750997e-01 4.533746530201285957e-02 3.285889995006844311e-01 2.869631160050630569e+01
8.235714273028075239e-01 9.502599649544805072e-01 6.905532009325920928e-01 5.148778054017574130e-02 2.862813008559867423e-01 2.518451847136020660e+01
8.157731383912265599e-01 9.782215749345719580e-01 7.058319315671920391e-01 5.262812300484627503e-02 2.934049093902110772e-01 2.217415838036686182e+01
7.927198623739183381e-01 9.485428754728287837e-01 6.476812371224164311e-01 4.628896391663700483e-02 3.174586876586079631e-01 3.365469770971685648e+01
8.080213203713297876e-01 9.650151913598179476e-01 6.809301344849169046e-01 5.112149115178734465e-02 3.346513875836506502e-01 3.116271250881254673e+01
8.300248083904385732e-01 9.566646156463771700e-01 6.715282290227710948e-01 4.889125025730580582e-02 3.128702103385701538e-01 2.671353404410183430e+01
8.311629851222037679e-01 9.796579165201634298e-01 6.532134045273064737e-01 4.612522509779781038e-02 3.215687991177663130e-01 2.561943134292960167e+01
8.092190935522317607e-01 9.473619277499616409e-01 7.000544037282466769e-01 5.226113505560905231e-02 2.883145416399464089e-01 2.866979511454701424e+01
7.934552265204489752e-01 9.662874629352241618e-01 6.735450003094970439e-01 4.753219988841563687e-02 3.076191962223500109e-01 3.151321764569729567e+01
8.164509088046848495e-01 9.553195979133248805e-01 6.791367527641355428e-01 4.982481475260108761e-02 3.386014096226543368e-01 2.049421473871916533e+01
8.223672284431755575e-01 9.745986903239042265e-01 6.948549365237355335e-01 5.083442086253315423e-02 3.497294716538861259e-01 2.685908338986337185e+01
7.854226493336260440e-01 9.622773907244205338e-01 6.592037695631384198e-01 4.861443485777825618e-02 3.005022925214841933e-01 3.084683249704539776e+01
8.001427526086568598e-01 9.825550901707261753e-01 6.848360692881048095e-01 5.344500798445195322e-02 2.811775355406105348e-01 3.397973288316279650e+01
8.381377491414546688e-01 9.489056643195450391e-01 6.679336922042071745e-01 4.709950222346932086e-02 3.326767935596406378e-01 2.202311575878411531e+01
8.343976750470697423e-01 9.680601187519729534e-01 6.895931449517607170e-01 4.905627084236592605e-02 2.953715196179225733e-01 2.153132459148764610e+01
7.963388781495391866e-01 9.580689180385321135e-01 6.651834525898098205e-01 5.095645840737968862e-02 3.195007673056796116e-01 3.255078526213765144e+01
7.816368025600910485e-01 9.758524446770548977e-01 6.976198335163295017e-01 4.618840813908726278e-02 3.366761310689151410e-01 2.760159309487789869e+01
8.186384300202130815e-01 9.451893702153116861e-01 6.544613333962857604e-01 5.272869904797524571e-02 3.148189252831041784e-01 2.455077155958861113e+01
8.127257125884294053e-01 9.833331065982580110e-01 6.706775729715823697e-01 5.165266737241298173e-02 3.037109134366735574e-01 2.285875282250344753e+01
7.896657703876495127e-01 9.539415956813842579e-01 6.837766407042741301e-01 4.517255820419639745e-02 3.438130849545821821e-01 3.481582771055400372e+01
8.054188266642391403e-01 9.704548494316638241e-01 6.485881560839712456e-01 4.997181543793529496e-02 3.266177232202142622e-01 3.003869701642543077e+01
8.274193106092512240e-01 9.617352147664874895e-01 7.029364884443580763e-01 4.788278807599097991e-02 2.842434749912470249e-01 2.605049014557152987e+01
8.284887280188500958e-01 9.724561857342720606e-01 6.630274311251938002e-01 5.305895838972181366e-02 3.424959364861249744e-01 3.447359417099505663e+01
8.055505809061229705e-01 9.598041980493814407e-01 6.911777630247175619e-01 4.692110287297517057e-02 3.095894840463995767e-01 2.346191928256303072e+01
7.912039393618702787e-01 9.853357398159802161e-01 6.561723942667245790e-01 5.062268666077405360e-02 2.924032750690355731e-01 2.636421806178987026e+01
8.133262157127261194e-01 9.520118758793920666e-01 6.955719729125500184e-01 4.832812636431306486e-02 3.230192715862765795e-01 2.940726096741855145e+01
8.222857446655630342e-01 9.765531472288072612e-01 6.821700447224080532e-01 4.728738808158785417e-02 3.295865219954401404e-01 3.300334255676716566e+01
7.843469100132585137e-01 9.445827197473496417e-01 6.728262756936251865e-01 4.950516925465316131e-02 2.807244110453873676e-01 2.105405300389975309e+01
7.995174421243369522e-01 9.687595344021916466e-01 7.049623530343175348e-01 4.577250414799899358e-02 2.978905527053400948e-01 2.412852769717574120e+01
8.366390327237546165e-01 9.574609806690365099e-01 6.468697941288351627e-01 5.211580495063215801e-02 3.490430847687646665e-01 2.810895638540387154e+01
8.403495236173271765e-01 9.805535784740001537e-01 7.022194375269115163e-01 5.015878104876726751e-02 3.109444413978606492e-01 3.047403965611010790e+01
8.032923064813017877e-01 9.508365056425333028e-01 6.516195454619824190e-01 4.826027951661497617e-02 3.347259036276489796e-01 2.743053898680955172e+01
7.881031740330159963e-01 9.725959120657294843e-01 6.774349328860640451e-01 5.193094056371599931e-02 3.153919898105785324e-01 2.242258495651185513e+01
8.259855316452682228e-01 9.642069654859602990e-01 6.755838485792279302e-01 4.539233581434935771e-02 2.939009856788441510e-01 3.343471760861575603e+01
8.170222878329456151e-01 9.655872461985797184e-01 6.608049583233892577e-01 4.649949142981320976e-02 2.873537851825356260e-01 2.891578297596424818e+01
7.949639253936707783e-01 9.559267341963947340e-01 6.927118701286614222e-01 5.298206495579332181e-02 3.270909037470817737e-01 2.493489652406424284e+01
8.093217214629053746e-01 9.789589763585477833e-01 6.659021912872791216e-01 4.920964030262083011e-02 3.464047850558534258e-01 2.021607702597975731e+01
8.322029355600475409e-01 9.479703406080604022e-01 6.865598384648561314e-01 5.130113189566880977e-02 3.043772432023659213e-01 3.216582434251904488e+01
8.326222747437656002e-01 9.707124325916171026e-01 6.598682307437061523e-01 4.834964205270633059e-02 3.513033212145790785e-01 2.589497088920325041e+01
8.096275924764573251e-01 9.607289235595614096e-01 6.917699354872107742e-01 5.056746122373267927e-02 3.001560583805665261e-01 2.987551401834934950e+01
7.949217262551188101e-01 9.837547649316490395e-01 6.668412076853215131e-01 4.683472468091175178e-02 2.829807445194572058e-01 3.494190441444516182e+01
8.168666205242276490e-01 9.530993796478957059e-01 6.874921600691974444e-01 5.317800065821037120e-02 3.318559306424110900e-01 2.299272930249571800e+01
8.257162799373268802e-01 9.755052975513041069e-01 7.012759007126092570e-01 5.199622008709237075e-02 3.207234085576609051e-01 2.459683791268616915e+01
7.877204541549086558e-01 9.461214783158152786e-01 6.506844200551509250e-01 4.585838736912235813e-02 2.901021080018952314e-01 2.763976637739688158e+01
8.034699482344090926e-01 9.678770264595747408e-01 6.783651945538818895e-01 4.955991694649681395e-02 3.072975239895284205e-01 3.253409530036151409e+01
