# $a$ $x_\mathrm{HI}$ $\sigma_8$ $n_\mathrm{s}$ $h$ $\Omega_\mathrm{b}$ $\Omega_\mathrm{m}$ $\zeta_\mathrm{UV}$ $z_\mathrm{mid}$
4.600845e-02 9.997068e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
4.692862e-02 9.996725e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
4.786718e-02 9.996230e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
4.882453e-02 9.995555e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
4.980102e-02 9.994669e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
5.079706e-02 9.993523e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
5.181299e-02 9.992017e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
5.284923e-02 9.990156e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
5.390623e-02 9.987828e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
5.498436e-02 9.984910e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
5.608405e-02 9.981328e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
5.720572e-02 9.976931e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
5.834983e-02 9.971607e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
5.951683e-02 9.965166e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
6.070717e-02 9.957490e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
6.192131e-02 9.948411e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
6.315974e-02 9.937619e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
6.442294e-02 9.925044e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
6.571140e-02 9.910377e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
6.702561e-02 9.893426e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
6.836611e-02 9.873883e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
6.973345e-02 9.851446e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
7.112811e-02 9.825807e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
7.255067e-02 9.796730e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
7.400172e-02 9.763685e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
7.548172e-02 9.726302e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
7.699136e-02 9.684465e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
7.853121e-02 9.637762e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
8.010183e-02 9.585840e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
8.170389e-02 9.528207e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
8.333792e-02 9.464478e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
8.500467e-02 9.394237e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
8.670478e-02 9.316738e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
8.843891e-02 9.231437e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
9.020769e-02 9.137856e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
9.201181e-02 9.035914e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
9.385205e-02 8.925018e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
9.572909e-02 8.804380e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
9.764367e-02 8.673425e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
9.959654e-02 8.531985e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.015885e-01 8.378794e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.036203e-01 8.212286e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.056926e-01 8.033442e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.078065e-01 7.839866e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.099626e-01 7.634174e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.121619e-01 7.414936e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.144051e-01 7.180467e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.166932e-01 6.929317e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.190271e-01 6.660704e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.214076e-01 6.373880e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.238358e-01 6.069686e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.263125e-01 5.745941e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.288388e-01 5.400846e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.314155e-01 5.029290e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.340438e-01 4.636562e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.367247e-01 4.222256e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.394592e-01 3.797877e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.422484e-01 3.355501e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.450934e-01 2.890496e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.479952e-01 2.430203e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.509551e-01 1.996367e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.539742e-01 1.585951e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.570537e-01 1.211739e-01 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.601948e-01 8.781603e-02 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.633987e-01 6.141179e-02 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
1.666667e-01 4.225264e-02 8.940445e-01 9.763270e-01 6.312948e-01 4.635785e-02 2.990268e-01 1.593462e+01 6.598323e+00
2.749370e-02 9.997802e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
2.804357e-02 9.997802e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
2.860444e-02 9.997803e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
2.917653e-02 9.997803e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
2.976006e-02 9.997805e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
3.035526e-02 9.997807e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
3.096237e-02 9.997807e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
3.158162e-02 9.997845e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
3.221325e-02 9.997845e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
3.285751e-02 9.997846e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
3.351466e-02 9.997846e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
3.418496e-02 9.997848e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
3.486866e-02 9.997848e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
3.556603e-02 9.997849e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
3.627735e-02 9.997849e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
3.700290e-02 9.997852e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
3.774296e-02 9.997859e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
3.849782e-02 9.997860e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
3.926777e-02 9.997860e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
4.005313e-02 9.997860e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
4.085418e-02 9.997863e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
4.167127e-02 9.997863e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
4.250470e-02 9.997863e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
4.335479e-02 9.997864e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
4.422188e-02 9.997864e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
4.510632e-02 9.997845e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
4.600845e-02 9.998165e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
4.692862e-02 9.998001e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
4.786718e-02 9.997881e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
4.882453e-02 9.997739e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
4.980102e-02 9.997553e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
5.079706e-02 9.997326e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
5.181299e-02 9.997063e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
5.284923e-02 9.996701e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
5.390623e-02 9.996198e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
5.498436e-02 9.995488e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
5.608405e-02 9.994560e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
5.720572e-02 9.993342e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
5.834983e-02 9.991784e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
5.951683e-02 9.989808e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
6.070717e-02 9.987304e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
6.192131e-02 9.984174e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
6.315974e-02 9.980337e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
6.442294e-02 9.975570e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
6.571140e-02 9.969786e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
6.702561e-02 9.962823e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
6.836611e-02 9.954440e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
6.973345e-02 9.944518e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
7.112811e-02 9.932734e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
7.255067e-02 9.918880e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
7.400172e-02 9.902785e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
7.548172e-02 9.884126e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
7.699136e-02 9.862684e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
7.853121e-02 9.837946e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
8.010183e-02 9.809743e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
8.170389e-02 9.777427e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
8.333792e-02 9.740728e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
8.500467e-02 9.699214e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
8.670478e-02 9.652358e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
8.843891e-02 9.600057e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
9.020769e-02 9.541683e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
9.201181e-02 9.476603e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
9.385205e-02 9.404498e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
9.572909e-02 9.324837e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
9.764367e-02 9.236794e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
9.959654e-02 9.139268e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.015885e-01 9.032052e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.036203e-01 8.914554e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.056926e-01 8.786094e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.078065e-01 8.646134e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.099626e-01 8.493531e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.121619e-01 8.327618e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.144051e-01 8.147268e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.166932e-01 7.951658e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.190271e-01 7.740276e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.214076e-01 7.512195e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.238358e-01 7.266406e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.263125e-01 7.003366e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.288388e-01 6.721081e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.314155e-01 6.417535e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.340438e-01 6.094427e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.367247e-01 5.751294e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.394592e-01 5.386149e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.422484e-01 4.998045e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.450934e-01 4.581922e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.479952e-01 4.141511e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.509551e-01 3.682652e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.539742e-01 3.211590e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.570537e-01 2.720852e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.601948e-01 2.220408e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.633987e-01 1.755338e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
1.666667e-01 1.320860e-01 7.688891e-01 9.531378e-01 6.544072e-01 5.588783e-02 3.682546e-01 1.886215e+01 6.030664e+00
2.749370e-02 9.997802e-01 8.778789e-01 9.581345e-01 6.300113e-01 4.381861e-02 3.608253e-01 2.455043e+01 7.962002e+00
2.804357e-02 9.997802e-01 8.778789e-01 9.581345e-01 6.300113e-01 4.381861e-02 3.608253e-01 2.455043e+01 7.962002e+00
2.860444e-02 9.997802e-01 8.778789e-01 9.581345e-01 6.300113e-01 4.381861e-02 3.608253e-01 2.455043e+01 7.962002e+00
2.917653e-02 9.997803e-01 8.778789e-01 9.581345e-01 6.300113e-01 4.381861e-02 3.608253e-01 2.455043e+01 7.962002e+00
2.976006e-02 9.997803e-01 8.778789e-01 9.581345e-01 6.300113e-01 4.381861e-02 3.608253e-01 2.455043e+01 7.962002e+00
3.035526e-02 9.997805e-01 8.778789e-01 9.581345e-01 6.300113e-01 4.381861e-02 3.608253e-01 2.455043e+01 7.962002e+00
3.096237e-02 9.997806e-01 8.778789e-01 9.581345e-01 6.300113e-01 4.381861e-02 3.608253e-01 2.455043e+01 7.962002e+00
