# $\sigma_8$ $n_\mathrm{s}$ $h$ $\Omega_\mathrm{b}$ $\Omega_\mathrm{m}$ $\zeta_\mathrm{UV}$
7.948022203147411258e-01 9.643218374252319203e-01 6.268418690189718756e-01 4.877511572092771419e-02 3.304454931616783164e-01 2.772186351474374533e+01
8.936262558400631661e-01 9.402959410101175974e-01 7.130225227400660559e-01 5.433102492243051251e-02 2.625393196940422058e-01 2.467836262192577124e+01
8.837267374992370250e-01 9.967818386107683004e-01 6.360777000337839437e-01 5.972564052790403644e-02 3.418680857121944583e-01 2.700132478959858418e+01
7.847408097982406794e-01 9.376827380061150130e-01 7.072730200737714634e-01 4.462930802255869051e-02 2.539728675782680356e-01 3.098175325430929661e+01
7.430356810986995519e-01 9.713118620961904703e-01 6.518970445916056899e-01 5.334855500608682438e-02 2.913048478960991172e-01 3.388051869813352823e+01
8.442011170089245287e-01 9.528377591073513564e-01 6.855945220217108949e-01 4.858432780951261326e-02 3.841798838973045638e-01 2.193122936878353357e+01
8.203089229762554613e-01 9.657940518110991190e-01 7.180271728336811154e-01 4.611617017537355395e-02 3.698335464298725395e-01 2.548335097730159760e+01
7.613211618363857625e-01 9.498979230225086390e-01 6.242104873061179449e-01 5.073878880590200480e-02 3.169474954903125918e-01 2.852639410644769669e+01
8.008291059732437489e-01 9.809515354782343266e-01 6.740823698416351650e-01 4.194611366838216920e-02 2.795716840028762973e-01 3.160443080123513937e+01
8.619927132129668879e-01 9.244304043054580866e-01 6.627644442394375890e-01 5.748677957803011163e-02 3.274778407812118930e-01 2.059275568928569555e+01
8.678909119963645891e-01 9.847730272263288676e-01 7.032102875784039808e-01 4.968377556651830396e-02 2.848418357968330317e-01 2.904430655296891928e+01
8.092277827858924688e-01 9.207422448694706496e-01 6.395254272595047862e-01 5.475048083811998034e-02 3.919368448853493003e-01 2.505609945859760046e+01
7.684693612158298714e-01 9.696180132776498484e-01 6.887967446446419117e-01 4.354117710143327880e-02 3.545810942351818040e-01 2.010311640799045563e+01
8.299575980007648512e-01 9.462122333049773903e-01 6.476106084883213043e-01 5.831483986228704064e-02 2.424659077823161923e-01 3.206019151955842972e+01
8.457249279320240287e-01 9.726559556275606866e-01 6.208066948875784474e-01 5.576363358646631296e-02 2.668598902225494118e-01 3.035353856626898050e+01
7.470587445795535686e-01 9.516722014546394881e-01 7.221045647189020533e-01 4.117063265293836871e-02 3.389835739135742543e-01 2.730271725449711084e+01
7.850146177411079229e-01 9.981234814971685632e-01 6.670947789400816230e-01 5.245306890457868132e-02 3.762953414022922605e-01 2.252934877760708332e+01
8.864998051524162204e-01 9.365147297084331912e-01 6.708948419243097039e-01 4.690295789390802605e-02 3.091917587816715440e-01 3.354880922473967075e+01
8.964782072603703078e-01 9.604994018375874187e-01 6.613306276127696171e-01 4.150650184601545334e-02 3.852191329002380149e-01 3.310278741177171469e+01
7.951533932983875230e-01 9.439831566065549628e-01 6.801453211531043319e-01 5.659825656563043095e-02 2.981241071224212669e-01 2.114617006387561560e+01
7.571494647860527172e-01 9.850294488668441817e-01 6.115269009023904800e-01 4.546171221882104596e-02 2.554360581934452257e-01 2.398605920374393463e+01
8.556732800602913080e-01 9.291382012516260502e-01 7.278394370526075630e-01 5.022136192768811985e-02 3.475512661039829032e-01 2.797380853444337845e+01
8.398963299393653603e-01 9.920712956786155168e-01 6.982815993204712912e-01 5.261628706008195794e-02 3.232012286782264820e-01 3.438260810915380716e+01
7.785696825385093334e-01 9.336020774394273580e-01 6.420808326080441608e-01 4.798848059028387042e-02 2.710775235295295738e-01 2.336360542569309473e+01
8.193569524586200581e-01 9.772287653386593220e-01 7.087107844650745170e-01 5.936446871608495879e-02 3.137216655910015084e-01 2.650006775744259357e+01
8.778789390623569222e-01 9.581345447152853634e-01 6.300112578272819563e-01 4.381861466914415554e-02 3.608252649009228152e-01 2.955043130554258823e+01
8.794892001152039285e-01 9.646224425733089802e-01 7.131635901704430625e-01 5.679148469120263998e-02 3.570007215440273440e-01 3.329094567336142063e+01
8.183140176534652310e-01 9.412263878434896647e-01 6.269646938517690060e-01 4.139281969517469295e-02 2.497390507161617312e-01 2.274023522622883320e+01
7.787593482434749248e-01 9.897799286246299344e-01 6.938287346065044048e-01 5.002385061234235902e-02 2.874026784300804382e-01 2.710739566478878260e+01
8.377355293929577007e-01 9.257588762789965564e-01 6.451274520158767345e-01 4.558213803917169488e-02 3.996832343935966536e-01 3.062696697656065226e+01
8.566557972133159726e-01 9.931096190214157016e-01 6.164485777541994782e-01 4.787959542125463236e-02 3.740369243919849929e-01 3.173280332237482071e+01
7.554824434220790419e-01 9.315105924755334721e-01 7.252615153416991367e-01 5.280469913035631263e-02 3.017673261463642009e-01 2.024447821080684662e+01
7.972146993875504073e-01 9.776396448910236181e-01 6.564088917523622779e-01 4.394399005919694817e-02 2.641378396749496371e-01 2.490100206341594458e+01
8.961927139759063854e-01 9.566656207293272596e-01 6.827232982963323815e-01 5.916198875755071529e-02 3.313884764909744152e-01 2.935795915778726339e+01
8.861416779458523019e-01 9.800265123695135472e-01 6.659230428561567772e-01 5.486972410231828745e-02 2.530213196575641366e-01 2.978901245631277561e+01
7.873048083484173176e-01 9.241255395114422733e-01 6.772228188440203578e-01 4.948508169502019438e-02 3.402830119431018985e-01 2.626989890821278095e+01
7.456218278408049960e-01 9.654940593987703101e-01 6.219783719629049523e-01 5.819989886134863122e-02 3.826534038782120062e-01 2.354708327446132898e+01
8.466335898637771251e-01 9.489680841565132363e-01 7.157766432315111338e-01 4.373314637690782491e-02 2.903728312253952004e-01 3.409733595792204142e+01
8.277229470014572099e-01 9.722417167574167740e-01 6.880938806012272257e-01 4.096697013825178341e-02 3.159849618375301095e-01 2.831864628940820694e+01
7.688891267776489791e-01 9.531377708911895619e-01 6.544072285667061895e-01 5.588782642036676379e-02 3.682545767724514363e-01 2.386214695870876312e+01
8.084137277305125657e-01 9.970866864174604549e-01 7.039130926132202148e-01 4.709011111408471784e-02 3.259184023737907721e-01 2.131127835717052221e+01
8.694285438954830747e-01 9.386077381670475672e-01 6.327288626134395244e-01 5.234292488545179423e-02 2.786677441000938171e-01 3.279914570506662130e+01
8.603266073763370381e-01 9.983984706550836918e-01 6.729107479751109677e-01 4.451970759779214776e-02 3.909950816631317383e-01 2.434845940675586462e+01
8.018125386536121280e-01 9.374293261766434293e-01 6.690923064947128518e-01 5.991440545767545700e-02 2.832469773292541348e-01 2.786071029957383871e+01
7.610371944308280678e-01 9.735559331625700530e-01 7.191987356916069718e-01 4.870921682566404370e-02 2.409296430647372977e-01 3.228617478162050247e+01
8.223717549443244623e-01 9.519617910683155770e-01 6.178826804831624164e-01 5.314696196466683897e-02 3.536588622629642797e-01 2.174279190599918365e+01
8.431572666764259871e-01 9.693284078687429695e-01 6.511940658837556128e-01 5.093250330537557602e-02 3.380112937092781267e-01 2.567600219044834375e+01
7.446450266242027327e-01 9.453122363984585164e-01 6.923912563174963175e-01 4.600160110741853547e-02 2.652906671166420094e-01 3.012563841883093119e+01
7.825784833729266809e-01 9.838584477454423993e-01 6.367806197330355689e-01 5.728998351842164855e-02 3.076420669257640683e-01 3.472339325584471226e+01
8.839148773252963887e-01 9.204672786593437461e-01 7.004763412103056641e-01 4.206618662923574531e-02 3.753816549479961351e-01 2.324239616282284260e+01
8.940444955229759350e-01 9.763269543647765669e-01 6.312947889417409586e-01 4.635785032063722416e-02 2.990268269181251548e-01 2.093462066259235144e+01
7.925660434365272566e-01 9.578431264311075832e-01 7.099758441001177145e-01 5.174707051366567168e-02 3.867749097943306014e-01 3.147754577454179525e+01
7.545842255651951103e-01 9.917944778501988079e-01 6.417238419875502808e-01 4.060580071061849899e-02 3.491265742480754719e-01 2.869631160050630569e+01
8.532571394741534920e-01 9.326856475323439533e-01 6.979064018651842671e-01 5.507713068276643559e-02 2.563973717391491158e-01 2.518451847136020660e+01
8.324617023766041068e-01 9.859458570182323411e-01 7.284638631343841597e-01 5.776028942316770165e-02 2.720107603073120273e-01 2.217415838036686182e+01
7.709862996637820709e-01 9.294150009006262314e-01 6.121624742448329437e-01 4.284462098032236488e-02 3.247313702106475741e-01 3.365469770971685648e+01
8.117901876568793806e-01 9.607908406853675753e-01 6.786602689698337798e-01 5.421527329832315223e-02 3.624140001833439095e-01 3.116271250881254673e+01
8.704661557078361422e-01 9.448849821835756391e-01 6.598564580455422712e-01 4.896764766424894361e-02 3.146744336187839441e-01 2.671353404410183430e+01
8.735012936592102539e-01 9.886817457526921871e-01 6.232268090546131400e-01 4.245935317128896741e-02 3.337398336827754886e-01 2.561943134292960167e+01
8.149842494726180497e-01 9.271655766665936049e-01 7.169088074564933244e-01 5.689678836613892843e-02 2.608537898957729029e-01 2.866979511454701424e+01
7.729472707211971771e-01 9.632142151147127240e-01 6.638900006189941694e-01 4.576988209038972827e-02 3.031653615832328730e-01 3.151321764569729567e+01
8.342690901458263975e-01 9.423230436444283153e-01 6.750735055282711672e-01 5.116427000612020631e-02 3.710715827345848483e-01 2.049421473871916533e+01
8.500459425151347670e-01 9.790451244264841701e-01 7.065098730474710376e-01 5.353981379419565229e-02 3.954618556797504514e-01 2.685908338986337185e+01
7.515270648896693606e-01 9.555759823322296231e-01 6.352075391262769211e-01 4.831631731241941424e-02 2.875666685402393230e-01 3.084683249704539776e+01
7.907806736230850175e-01 9.942001717537641836e-01 6.864721385762095895e-01 5.968237172812222713e-02 2.452110368013381836e-01 3.397973288316279650e+01
8.921006643772125821e-01 9.301060272753238767e-01 6.526673844084143195e-01 4.475176993757486177e-02 3.580861228704452781e-01 2.202311575878411531e+01
8.821271334588527413e-01 9.665907023847103430e-01 6.959862899035215156e-01 4.935593139380216321e-02 2.763211388885974951e-01 2.153132459148764610e+01
7.806370083987712594e-01 9.475598438829183623e-01 6.471669051796197225e-01 5.382696095854043461e-02 3.292071612179279239e-01 3.255078526213765144e+01
7.414314734935760765e-01 9.814332279562950623e-01 7.120396670326590849e-01 4.260801915079355517e-02 3.668517941236495994e-01 2.760159309487789869e+01
8.401024800539016457e-01 9.230273718386888815e-01 6.257226667925714914e-01 5.799693893641233444e-02 3.189455896615981945e-01 2.455077155958861113e+01
8.243352335691451760e-01 9.956821078062056962e-01 6.581551459431648210e-01 5.546509969979524640e-02 2.945992623269557686e-01 2.285875282250344753e+01
7.628420543670654252e-01 9.396982774883508860e-01 6.843532814085483418e-01 4.021778400987386509e-02 3.824944327771663821e-01 3.481582771055400372e+01
8.048502044379710618e-01 9.711520941555500386e-01 6.139763121679424618e-01 5.151015397161245318e-02 3.448059687018394381e-01 3.003869701642543077e+01
8.635181616246700997e-01 9.545432662218809039e-01 7.226729768887162342e-01 4.659479547291994067e-02 2.519309040904045283e-01 2.605049014557152987e+01
8.663699413836002394e-01 9.749641633033752086e-01 6.428548622503876819e-01 5.877401974052190448e-02 3.796075320243835760e-01 3.447359417099505663e+01
8.052015490829944611e-01 9.508651391416788057e-01 6.991555260494350943e-01 4.433200675994157514e-02 3.074838006496429799e-01 2.346191928256303072e+01
7.669438382983208013e-01 9.994966472685337111e-01 6.291447885334491286e-01 5.304161567240953112e-02 2.698153974115848341e-01 2.636421806178987026e+01
8.259365752339362654e-01 9.360226207226515216e-01 7.079439458250998962e-01 4.764265026897192279e-02 3.369189514219760873e-01 2.940726096741855145e+01
8.498286524415016308e-01 9.827678994834423420e-01 6.811400894448160770e-01 4.519385430961847527e-02 3.513129249215126149e-01 3.300334255676716566e+01
7.486584267020225392e-01 9.218718471378087864e-01 6.624525513872504545e-01 5.041216295212506970e-02 2.442178872227668551e-01 2.105405300389975309e+01
7.891131789982318567e-01 9.679229226708412348e-01 7.267247060686349291e-01 4.162942152470350266e-02 2.818423072993755385e-01 2.412852769717574120e+01
8.881040872633457761e-01 9.464018679410219903e-01 6.105395882576704070e-01 5.655483517795800719e-02 3.939574460685253410e-01 2.810895638540387154e+01
8.979987296462059732e-01 9.903877685219049098e-01 7.212388750538230031e-01 5.195007305592298785e-02 3.104535701870918540e-01 3.047403965611010790e+01
7.991794839501380476e-01 9.337838202714920932e-01 6.200390909239649195e-01 4.748301062732934730e-02 3.625773230195045715e-01 2.743053898680955172e+01
7.586751307547092704e-01 9.752303086966276346e-01 6.716698657721280608e-01 5.611986014991998672e-02 3.202016215026378676e-01 2.242258495651185513e+01
8.596947510540485782e-01 9.592513628304004669e-01 6.679676971584558309e-01 4.073490779846906940e-02 2.730980508029460796e-01 3.343471760861575603e+01
8.357927675545215873e-01 9.618804689496756044e-01 6.384099166467785968e-01 4.333997983485460281e-02 2.587480223178863503e-01 2.891578297596424818e+01
7.769704677164555040e-01 9.434794937074184595e-01 7.022237402573228149e-01 5.859309401363134440e-02 3.458430767059326172e-01 2.493489652406424284e+01
8.152579239010810941e-01 9.873504311591386751e-01 6.486043825745582136e-01 4.971680071204900853e-02 3.881748713552952146e-01 2.021607702597975731e+01
8.762744948267936484e-01 9.283244583010673567e-01 6.899196769297122334e-01 5.463795740157365716e-02 2.960597111284732907e-01 3.216582434251904488e+01
8.773927326500415846e-01 9.716427287459373785e-01 6.365364614874123861e-01 4.769327541813254273e-02 3.989113889634609555e-01 2.589497088920325041e+01
8.160735799372196286e-01 9.526265210658312332e-01 7.003398709744215189e-01 5.291167346760630719e-02 2.868077991902828194e-01 2.987551401834934950e+01
7.768579366803168851e-01 9.964852665364742901e-01 6.504824153706431078e-01 4.412876395508646965e-02 2.491632756590843045e-01 3.494190441444516182e+01
8.353776547312736778e-01 9.380940564721823582e-01 6.917843201383948593e-01 5.905411919578909541e-02 3.562869712710380887e-01 2.299272930249571800e+01
8.589767464995384794e-01 9.807719953358173814e-01 7.193518014252185955e-01 5.627345902845263398e-02 3.318869228661060489e-01 2.459683791268616915e+01
7.576545444130897700e-01 9.248028158396482956e-01 6.181688401103019315e-01 4.183149969205260388e-02 2.647717435657978013e-01 2.763976637739688158e+01
7.996531952917576014e-01 9.662419551610946789e-01 6.735303891077637495e-01 5.054098105058073970e-02 3.024603265523910789e-01 3.253409530036151409e+01
